Species	Catalog Number	noContigs	orthoLoci	paraLoci	N50	N90	minLen	maxLen	meanLen	medianLen
Achalinus spinalis	KU 312258	15459	2222	945	1156	809	113	8054	1157.429343	1053.5
Aparallactus capensis	MCZ A28808	10577	2362	852	1130	751	251	8020	1138.627011	956.5
Aplopeltura boa	KU 315147	21474	2407	1408	1324	876	147	8079	1298.199418	1181
Atractaspis bibronii	MCZ A27807	28250	2568	2220	1354	891	186	11641	1332.03933	1139
Boiga irregularis	SLT 833	27366	2536	2457	1756	1166	316	12031	1705.972003	1558.5
Buhoma depressiceps marlieri	CFS 1528	9305	2393	838	973	629	127	7634	951.1111575	762
Cerberus schneiderii	KU 324534	17155	2543	1441	1443	988	110	8229	1421.532049	1287
Oxyrhabdium cf. modestum	KU 338101	28404	2589	2075	1450	1029	126	15634	1445.565083	1283
Chamaelycus fasciatus	KU 348632	31707	2516	2045	1509	1013	156	8983	1487.868045	1291
Cyclocorus lineatus lineatus	KU 335808	20397	2610	1744	1271	814	184	10675	1231.411111	1035
Oxyrhabdium leporinum	RMB 23647	25287	2544	1895	1475	1020	126	6639	1454.030267	1300.5
Oxyrhabdium modestum	KU 310866	26340	2535	2049	1615	1095	236	8632	1575.282051	1431
Prosymna visseri	MCZ R190223	25575	2589	1494	1344	881	79	9297	1311.233681	1131
Psammodynastes pulverulentus	KU 329686	16030	2496	1190	1311	817	166	8061	1260.578926	1084
Pseudaspis cana	MCZ A27068	18954	2549	1500	1269	831	244	8156	1242.798745	1054
Pseudoxyrhopus tritaeniatus	KU 340969	26424	2556	2320	1485	996	264	8465	1452.81651	1264
Rhamphiophis oxyrhynchus	KU 290451	20913	2518	1454	1442	990	220	7276	1431.039714	1259
Scolecophis atrocinctus	KU 289804	23577	2574	1749	1332	894	74	8437	1322.031857	1110
Tantilla taeniata	KU 289863	31909	2570	2036	1412	896	268	8217	1346.311284	1113
